نماد	تغییر	بازار	گروه
زمگسا	0	1	1
زكشت	0	2	1
آينده	0	4	1
تليسهح	0	2	1
تليسه	0	2	1
زبينا	0	2	1
كپرور	0	2	10
عسناسنگ	0	7	13
تكنار	0	4	13
چفيبر	0	1	20
پسهند	0	1	25
پدرخش	0	1	25
پلوله	0	4	25
پشاهن	0	4	25
فسازان	0	1	27
كوير	0	1	27
فزرين	0	2	27
فاهواز	0	4	27
وتوكا	0	1	27
فلوله	0	1	27
فروس	0	1	27
فنفت	0	4	27
فافزا	0	4	27
فوكا	0	4	27
فبستم	0	4	28
چدن	0	1	28
فسلير	0	4	28
فبيرا	0	4	28
تفيرو	0	4	29
لازما	0	4	29
لسرما	0	1	29
لخانه	0	4	29
تكشا	0	1	29
لابسا	0	1	29
بايكا	0	4	31
نيرو	0	4	31
بسويچ	0	1	31
بتك	0	4	31
بالبر	0	1	31
لپيام	0	4	32
لپارس	0	1	32
لكما	0	4	32
خپويش	0	1	34
خعمرا	0	4	34
خريخت	0	1	34
خلنت	0	1	34
خاور	0	4	34
خمهر	0	1	34
ختراك	0	1	34
خفناور	0	4	34
خكاوه	0	4	34
تشتاد	0	4	34
ختوقا	0	1	34
قجام	0	4	38
قشرين	0	4	38
قشهد	0	1	38
قثابت	0	1	38
قلرست	0	1	38
بكهنوج	0	2	40
غمهرا	0	1	42
غپينو	0	1	42
غنيلي	0	2	42
غگل	0	1	42
خودكفا	0	4	42
غگرجي	0	1	42
غصينو	0	4	42
غپونه	0	4	42
غپاك	0	1	42
غچين	0	1	42
غنوش	0	1	42
غيوان	0	4	42
غگز	0	2	42
غشاذر	0	1	42
غبهار	0	4	42
داوه	0	2	43
دسبحان	0	1	43
وپخش	0	1	43
دزهراوي	0	1	43
داسوه	0	1	43
دتوليد	0	2	43
دفرا	0	1	43
دكيمي	0	1	43
درازك	0	1	43
دلقما	0	1	43
شتهران	0	4	43
دجابر	0	1	43
دشيمي	0	1	43
بركت	0	1	43
دروز	0	1	43
دحاوي	0	4	43
دسانكو	0	2	43
دامين	0	1	43
والبر	0	1	43
دالبر	0	1	43
دابور	0	1	43
ددام	0	1	43
دتوزيع	0	2	43
دارو	0	1	43
ديران	0	1	43
